run_id,sol,E,tension,cyl_rad,approach_deg,geometric_fc,angular_span,num_contacts,total_energy
20260116_042556,approach_angle,10000000.0,5.0,0.01,12.86,False,72.17906348533637,28,787.3491669561485
20260116_042747,approach_angle,10000000.0,5.0,0.01,25.71,False,70.53706625464275,15,1591.068224079833
20260116_042943,approach_angle,10000000.0,5.0,0.01,38.57,False,67.85531900613688,14,1442.0015494438871
20260116_043138,approach_angle,10000000.0,5.0,0.01,51.43,False,47.95331895907043,10,1202.0784083634298
20260116_043332,approach_angle,10000000.0,5.0,0.01,64.29,False,19.96550632532825,5,943.3491316468306
20260116_043521,approach_angle,10000000.0,5.0,0.01,77.14,False,14.886725928458247,16,779.623506983854
20260116_043828,approach_angle,10000000.0,5.0,0.015,0.0,False,23.74612834864024,11,206.39023463959722
20260116_044015,approach_angle,10000000.0,5.0,0.015,12.86,False,153.3898526747724,23,1371.8803455617506
20260116_044209,approach_angle,10000000.0,5.0,0.015,25.71,False,168.99551599447477,22,622.588557425959
20260116_044405,approach_angle,10000000.0,5.0,0.015,38.57,False,140.53605198501575,12,1412.6268233705994
20260116_044605,approach_angle,10000000.0,5.0,0.015,51.43,False,22.071230309491114,7,1162.1037966794847
20260116_044757,approach_angle,10000000.0,5.0,0.015,64.29,False,9.789699234649333,4,910.5534710410287
20260116_044946,approach_angle,10000000.0,5.0,0.015,77.14,False,0.0,1,1014.6617076523579
20260116_045130,approach_angle,10000000.0,5.0,0.015,90.0,False,9.518990208318769,7,460.9748274635036
20260116_045313,approach_angle,23300000.0,2.0,0.01,0.0,False,173.38257309476145,21,74.92888187361258
20260116_045600,approach_angle,23300000.0,2.0,0.01,12.86,False,59.89590767104556,16,412.29077173319365
20260116_045841,approach_angle,23300000.0,2.0,0.01,25.71,False,74.68831264986392,18,589.5797476660073
20260116_050127,approach_angle,23300000.0,2.0,0.01,38.57,False,75.53813020130474,19,517.6565325026914
20260116_050410,approach_angle,23300000.0,2.0,0.01,51.43,False,2.581303012258502,4,1269.8351388729195
20260116_051157,approach_angle,23300000.0,2.0,0.015,0.0,False,176.09938844664413,43,64.74701777943076
20260116_051459,approach_angle,23300000.0,2.0,0.015,12.86,True,197.78830989005496,37,327.91167165262436
20260116_051747,approach_angle,23300000.0,2.0,0.015,25.71,True,201.15276311303157,32,514.5879484890469
20260116_052032,approach_angle,23300000.0,2.0,0.015,38.57,True,203.85479158502162,28,433.8708398350349
20260116_052318,approach_angle,23300000.0,2.0,0.015,51.43,False,1.4241362572628873,5,811.126474102492
20260116_052600,approach_angle,23300000.0,2.0,0.015,64.29,False,0.0,1,1754.2050113616117
20260116_053157,approach_angle,23300000.0,3.0,0.01,0.0,False,176.45205067537304,25,531.5175292808043
20260116_053447,approach_angle,23300000.0,3.0,0.01,12.86,False,0.0,1,1749.2157609885019
20260116_053728,approach_angle,23300000.0,3.0,0.01,25.71,False,79.64398567829699,19,689.6011565880954
